x_mm,y_mm,z_mm,qx,qy,qz,qw
1.0599889999999732,-13.903445999999974,-79.198564,-0.08256884786893291,-0.7022693703918945,0.7022693703918947,-0.08257026208230739
1.0078720000000203,-14.211937999999975,-81.922787,-0.08256885751057896,-0.7022694523965839,0.7022694523965839,-0.08256885751057896
1.0078720000000203,-14.211937999999975,-81.922787,-0.08256885751057896,-0.7022694523965839,0.7022694523965839,-0.08256885751057896
4.148580000000038,-15.85491300000001,-84.423131,-0.08256599050335373,-0.7022571034417701,0.7022811450607098,-0.08257730420638418
4.148580000000038,-15.85491300000001,-84.423131,-0.08256599050335373,-0.7022571034417701,0.7022811450607098,-0.08257730420638418
7.251423000000045,-17.527525000000026,-86.949823,-0.08256885751057896,-0.7022694523965839,0.7022694523965839,-0.08256885751057896
7.251423000000045,-17.527525000000026,-86.949823,-0.08256885751057896,-0.7022694523965839,0.7022694523965839,-0.08256885751057896
6.026308999999969,-16.824697000000015,-89.254841,-0.08256813111882777,-0.7022650457318051,0.702273531011061,-0.08257237375845569
6.026308999999969,-16.824697000000015,-89.254841,-0.08256813111882777,-0.7022650457318051,0.702273531011061,-0.08257237375845569
4.785780000000045,-16.135205999999982,-91.551284,0.08256956461726621,0.7022701595026515,-0.7022687452891117,0.08256815040372659
4.785780000000045,-16.135205999999982,-91.551284,0.08256956461726621,0.7022701595026515,-0.7022687452891117,0.08256815040372659
5.736939000000007,-16.524876000000006,-94.237138,-0.08256956461730748,-0.7022694523962327,0.7022694523962327,-0.08256815040376786
5.736939000000007,-16.524876000000006,-94.237138,-0.08256956461730748,-0.7022694523962327,0.7022694523962327,-0.08256815040376786
6.674578999999994,-16.916867000000025,-96.930567,0.08256956461726621,0.7022701595026515,-0.7022687452891117,0.08256815040372659
6.674578999999994,-16.916867000000025,-96.930567,0.08256956461726621,0.7022701595026515,-0.7022687452891117,0.08256815040372659
5.244622000000049,-18.53538900000001,-100.136004,0.08256604358862052,0.7022709899843955,-0.7022667473430314,0.08258159994028923
5.244622000000049,-18.53538900000001,-100.136004,0.08256604358862052,0.7022709899843955,-0.7022667473430314,0.08258159994028923
3.749708000000055,-20.17578400000002,-103.325672,-0.08256955497566143,-0.7022693703922458,0.7022693703922458,-0.08256955497566143
3.749708000000055,-20.17578400000002,-103.325672,-0.08256955497566143,-0.7022693703922458,0.7022693703922458,-0.08256955497566143
2.627173999999968,-20.679935999999998,-108.219107,-0.08256747708889986,-0.7022662042747091,0.7022718611311827,-0.08257737658772869
2.627173999999968,-20.679935999999998,-108.219107,-0.08256747708889986,-0.7022662042747091,0.7022718611311827,-0.08257737658772869
1.444927000000007,-21.20165800000001,-113.089193,-0.08256955497566143,-0.7022693703922458,0.7022693703922458,-0.08256955497566143
1.444927000000007,-21.20165800000001,-113.089193,-0.08256955497566143,-0.7022693703922458,0.7022693703922458,-0.08256955497566143
2.518128000000047,-22.649900000000002,-116.086592,-0.08256885751057896,-0.7022694523965839,0.7022694523965839,-0.08256885751057896
2.518128000000047,-22.649900000000002,-116.086592,-0.08256885751057896,-0.7022694523965839,0.7022694523965839,-0.08256885751057896
3.573627999999985,-24.099410999999975,-119.090574,-0.08256955497566143,-0.7022693703922458,0.7022693703922458,-0.08256955497566143
3.573627999999985,-24.099410999999975,-119.090574,-0.08256955497566143,-0.7022693703922458,0.7022693703922458,-0.08256955497566143
4.114777000000004,-25.094205999999986,-121.379329,-0.08256885751057896,-0.7022694523965839,0.7022694523965839,-0.08256885751057896
4.114777000000004,-25.094205999999986,-121.379329,-0.08256885751057896,-0.7022694523965839,0.7022694523965839,-0.08256885751057896
4.644626000000017,-26.088778999999988,-123.671279,-0.08256955497566143,-0.7022693703922458,0.7022693703922458,-0.08256955497566143
4.644626000000017,-26.088778999999988,-123.671279,-0.08256955497566143,-0.7022693703922458,0.7022693703922458,-0.08256955497566143
3.4307119999999713,-26.578557999999987,-127.207982,-0.0825674047289479,-0.7022670030400706,0.7022712456787077,-0.08257589000622204
3.4307119999999713,-26.578557999999987,-127.207982,-0.0825674047289479,-0.7022670030400706,0.7022712456787077,-0.08257589000622204
2.1835270000000264,-27.08157,-130.728633,-0.08256955497566143,-0.7022693703922458,0.7022693703922458,-0.08256955497566143
2.1835270000000264,-27.08157,-130.728633,-0.08256955497566143,-0.7022693703922458,0.7022693703922458,-0.08256955497566143
