x,y,z,nx,ny,nz
0.005835496514743046,-0.019531425468702342,-0.3375762241663882,-0.04780959176710602,0.9983400001356039,-0.03211677232079125
-0.030849053617155668,-0.020489030719390896,-0.3457493034611976,-0.10307134679433633,0.9892913555764137,-0.10333881773943114
-0.04024108630074104,-0.021613468670700086,-0.3438994489973134,-0.15950840690729878,0.985157246324958,0.06342135396947399
0.04793916121186691,-0.025454362897495628,-0.34651797336062784,0.21965674286057119,0.963061666306873,-0.1557663063891366
-0.06918757139258302,-0.02746045101652444,-0.34581344925246377,-0.3412836858627914,0.9362687150752365,0.0832246293790072
-0.07578986603094057,-0.029174465520503078,-0.3451783148421309,-0.22666507544716366,0.9730100094892843,0.043295092172143695
0.06919416530619357,-0.029563791418922594,-0.3452999757184453,0.2846197250128754,0.9577101547900685,0.042224063584384505
-0.0815629506740907,-0.03066483369410468,-0.34369325430335085,-0.32573328603766527,0.9371813929333735,-0.12485536875347462
0.09838809692515477,-0.0385307834448395,-0.34633978369800283,0.4710955801938447,0.8785542950617942,-0.0788118325525983
-0.10737154574014757,-0.03686529164758026,-0.3471665313983514,-0.33244605981514874,0.93527465866578,0.12141223237792499
-0.11163806183157861,-0.04073089990021386,-0.3459508655303553,-0.47418956772786924,0.8724093580957429,0.11851652106364766
-0.11823465585974102,-0.04333872204703004,-0.3468093897931377,-0.4057586328200576,0.8793459958778447,0.24921988569453946
-0.13628051289615878,-0.05430751673319309,-0.3461314062274984,-0.4669785652135291,0.8833742259623819,-0.039761747150699814
-0.1323517202975782,-0.05159920874233746,-0.3467204709267473,-0.5239481093637276,0.8516534268167285,-0.01283819634912742
-0.13611490257417844,-0.051871442180794994,-0.34220455707053654,-0.46697856521349984,0.8833742259624136,-0.03976174715034497
-0.1526010126192079,-0.06224696352628553,-0.34626681381163177,-0.524469681593626,0.8228292519925349,-0.21882315954780984
-0.15884470269973006,-0.06562178753384461,-0.3464800146332188,-0.5351226290185553,0.8174719951668771,-0.21303358662463312
0.15800782749202516,-0.08028431419548787,-0.34652579552593865,0.9384627791041774,0.3414670168024174,-0.05184485193460867
0.15541706764325589,-0.07315275408686485,-0.34655426928782584,0.9697980421743084,0.23316483513468655,-0.07159550999533744
0.15940794121805618,-0.08617393566143561,-0.3468565957086035,0.9811851814480363,0.19285524624879413,0.009082604312691183
0.16129089372173266,-0.10199133703886712,-0.3453017390226902,0.9954516459725045,0.017818066064672886,-0.09358705600854536
0.16233209412903687,-0.11276282284710896,-0.34585295202934035,0.9821651458839731,0.18792684326912845,-0.005926870136465312
0.16095544346058543,-0.15303948958969457,-0.3467682667054697,0.9399169182353121,-0.17570879462299605,0.29271591399711683
0.15482353422476108,-0.16378222005884147,-0.3473161701091366,0.5905877061688461,-0.5389563538219626,0.6006098650514791
-0.14367460085529848,-0.1705475450021689,-0.34677996788184584,-0.3700153045838302,-0.9203773699853227,0.12646806392380477
-0.15021433245559934,-0.16687919042575175,-0.346529275915452,-0.547538307090834,-0.8272556926081871,0.1258960734711456
0.1234400168406054,-0.18078899210659044,-0.34665409152418714,0.39008708234591355,-0.9125136407494804,-0.12308908819623676
-0.11444708438426349,-0.1812863915594051,-0.34678613718014084,-0.3963417685902378,-0.9014442997486245,0.17410162814136582
-0.13786224591569232,-0.17305856695400348,-0.34630124271609336,-0.3698609021077022,-0.9170141285144061,0.14929166486124154
-0.1314543508139282,-0.17605219249770976,-0.3455128134997022,-0.4058168334525796,-0.9081346465981132,0.10297650865435987
-0.1198358298536723,-0.17970593775790045,-0.34633079040788617,-0.32823315027716454,-0.942550578525877,0.06214021225955978
-0.0901243108654023,-0.19049177414401014,-0.3469612314446868,-0.3425147921336535,-0.9180334461557322,-0.19974536016906813
-0.07582004591043887,-0.1954238494574203,-0.34668950123513975,-0.2926607815839413,-0.9557517818762947,0.0298026569782686
-0.08050855208888294,-0.1934355766119606,-0.3464847178029617,-0.31799001498110574,-0.9480649118648496,0.007434599048414911
-0.07103817424485313,-0.19713575721768406,-0.3466491559634847,-0.2183542700095364,-0.9696569827290485,-0.10993974992421884
0.10984860120205198,-0.18599724845954402,-0.346544715762992,0.2471352542057673,-0.9643915762306514,0.09419688861109184
0.10173437907025767,-0.1894841277101156,-0.3454724584809111,0.3743295861868473,-0.9267326029045884,-0.03231166382082579
0.08474975359036323,-0.19442463526657572,-0.34611271253489617,0.288033110332683,-0.944563437240435,-0.157597082398804
-0.062046574961922125,-0.19768529637090498,-0.3458201890005311,-0.15392868093798293,-0.98183925043782,-0.11089475859747489
-0.0520780907557372,-0.19953066787052653,-0.34665963693489593,-0.1416556062589578,-0.9700781171337906,-0.19718553667438943
0.07919179322079446,-0.1972528157254407,-0.34349641205149406,0.2710132974623598,-0.9624527331436485,0.015379501386559932
0.07407198536577653,-0.19879867294431802,-0.3437190400117003,0.21797861059996984,-0.9698961984300744,-0.10856652150546456
0.06356743541098499,-0.2005817908446792,-0.34576726001605507,0.1803600649441922,-0.8400347507570058,-0.511675546116816
0.055838580103709665,-0.20091525160313756,-0.345889992437778,0.12639990378479676,-0.9909201606997133,0.045829024013698746
0.01280494438897148,-0.20323588088036598,-0.34521773235160697,0.11662342460489468,-0.9895473295489803,-0.08482369607549606
0.03401203911169262,-0.20256450130577902,-0.34621313159216704,0.03504722719616239,-0.9986633624787844,-0.0379892130535627
0.016262745102957055,-0.2023559782981024,-0.34190695938924365,0.15537135057106266,-0.9863193686005018,-0.055080364425367664
0.026222095976874783,-0.2029634433471913,-0.3465341708236006,0.04783470578147103,-0.997227110574268,0.0570081648406309
0.03972157435757915,-0.20313096816099685,-0.3414661616314318,-0.019967545541414337,-0.9969444573819242,0.07551851442204253
